road_id,rainfall_mm,flood_level,elevation_m,road_type,historical_blockages,traffic_density,disaster_intensity,distance_to_waterbody_km,road_condition,blockage_probability,blocked
R00075,212.06,0.5165,419.73,Bridge,8,95.6,0.7993,8.15,0.4452,0.9581,1
R00076,218.7,0.4731,692.74,Local Road,2,1090.8,0.4933,4.07,0.6358,0.4539,0
R00077,231.38,0.4456,271.84,Local Road,2,323.1,0.1652,6.87,0.657,0.3911,0
R00078,22.21,0.3365,193.26,Main Road,3,1334.1,0.4147,7.83,0.665,0.3665,0
R00079,107.54,0.5769,231.61,Main Road,6,1011.7,0.7863,0.39,0.3063,0.9403,1
R00080,34.76,0.23,690.2,Main Road,7,1204.5,0.4129,11.81,0.9296,0.2905,0
R00081,258.93,0.8224,424.61,Main Road,0,1892.9,0.6965,1.47,0.688,0.9471,0
R00082,186.99,0.6838,108.98,Rural Road,2,1926.4,0.5072,2.08,0.8835,0.9247,1
R00083,99.27,0.2367,568.83,Highway,15,1508.6,0.2412,5.54,0.8065,0.5322,1
R00084,19.07,0.4121,127.72,Rural Road,3,452.6,0.7962,3.88,0.9826,0.7536,1
R00085,93.29,0.2404,52.89,Rural Road,0,1270.8,0.0842,7.87,0.8855,0.1616,0
R00086,97.55,0.4562,208.27,Main Road,4,757,0.5249,1.84,0.6021,0.5713,0
R00087,218.88,0.6722,138.63,Local Road,5,1633.4,0.2089,1.69,0.5254,0.8361,1
R00088,191.27,0.6113,485.97,Highway,5,1552.2,0.0671,0.16,0.733,0.5547,0
R00089,266.16,0.6688,390.23,Rural Road,3,352.6,0.5029,2.22,0.6282,0.8262,1
R00090,141.66,0.3181,580.63,Rural Road,3,753.4,0.4996,4.56,0.6277,0.5435,0
R00091,35.88,0.3788,411.7,Local Road,3,20.9,0.7069,1.3,0.8811,0.3382,0
R00092,213.97,0.6825,338.11,Main Road,3,727.4,0.7448,2.22,0.7557,0.917,0
R00093,228.24,0.7271,423.34,Local Road,5,237.3,0.7278,0.92,0.6642,0.8973,1
R00094,168.38,0.3986,350.42,Main Road,2,1946.6,0.4096,5.24,0.6601,0.7752,1
R00095,231.29,0.8976,34.48,Rural Road,4,977.4,0.6317,0.27,0.9645,0.9824,1
R00096,148.14,0.439,546.16,Rural Road,2,340.6,0.5769,4.33,0.8082,0.4697,1
R00097,156.82,0.4035,769.89,Bridge,8,1334.6,0.4216,1.72,0.5377,0.6737,1
R00098,128.26,0.5393,340.52,Main Road,1,1807.8,0.5972,0.2,0.8338,0.3551,0
R00099,7.63,0.3493,341.87,Highway,0,1383.7,0.9472,6.77,0.7908,0.489,1
R00100,32.37,0.3228,41.39,Rural Road,2,1009.9,0.1929,2.39,0.879,0.2936,1
R00101,9.43,0.311,712.85,Highway,11,1418.7,0.9058,3.25,0.6687,0.8439,1
R00102,190.92,0.2962,743.65,Local Road,11,291.4,0.0535,4.66,0.1474,0.2827,0
R00103,94.31,0.3576,651.45,Main Road,0,1694.2,0.3084,3.78,0.2818,0.164,1
R00104,152.57,0.4688,89.54,Local Road,2,712.8,0.2881,4.64,0.5604,0.5957,1
R00105,272.27,0.5135,720.68,Main Road,8,1215.3,0.6264,5.08,0.5656,0.8313,1
R00106,74.79,0.349,24.04,Rural Road,5,636.9,0.1312,3.16,0.8007,0.5786,1
R00107,123.11,0.5941,358.44,Local Road,11,1843.5,0.8823,1.64,0.6786,0.9681,1
R00108,226.67,0.787,403,Local Road,9,615.8,0.8286,1.03,0.8087,0.9744,1
R00109,68.64,0.2637,668.03,Local Road,2,963.6,0.6521,8.21,0.426,0.4047,0
R00110,23.09,0.1341,601.93,Highway,14,313,0.4584,12.31,0.7617,0.3294,1
R00111,86.93,0.4414,638.69,Rural Road,3,129.1,0.933,1.6,0.7038,0.6619,1
R00112,48.37,0.5017,694.98,Local Road,0,1267.5,0.8307,0.47,0.5827,0.4799,0
R00113,278.91,0.6632,383.48,Local Road,1,1764.6,0.4993,0.93,0.945,0.8368,1
R00114,242.44,0.5586,625.3,Main Road,5,1062.6,0.7019,3.94,0.6444,0.8722,0
R00115,190.02,0.7295,59.09,Bridge,7,691.8,0.5669,0.71,0.6904,0.9569,1
R00116,261.44,0.6157,358.41,Local Road,4,271.5,0.5879,5.35,0.9027,0.9127,0
R00117,241.1,0.4901,28.96,Main Road,7,49.7,0.331,9.03,0.6634,0.6562,0
R00118,55.97,0.2319,732.68,Main Road,6,927,0.4621,11.65,0.5523,0.3313,1
R00119,267.77,0.707,766.94,Main Road,7,712.7,0.0781,0.08,0.4483,0.5684,1
R00120,161.8,0.4022,71.73,Rural Road,8,167.8,0.3573,11.16,0.7904,0.6492,1
R00121,242.23,0.6667,428.44,Main Road,1,526.9,0.6958,4.77,0.6663,0.78,1
R00122,268.83,0.9459,263.49,Highway,5,855.1,0.9532,0.36,0.8081,0.9877,1
R00123,95.4,0.5388,277.31,Local Road,6,894.3,0.9631,1.93,0.852,0.8673,0
R00124,33.02,0.4513,363.31,Main Road,3,894.9,0.5557,4.26,0.8787,0.3971,1
R00125,68.38,0.3331,104.43,Bridge,5,1875.8,0.6066,11.04,0.7445,0.727,0
R00126,128.13,0.6118,148.71,Local Road,1,1681,0.1857,0.68,0.8629,0.667,0
R00127,245.4,0.7741,464.01,Main Road,6,132.2,0.6953,0.53,0.655,0.9058,1
R00128,258.22,0.6077,19.91,Local Road,4,889.7,0.0707,2.29,0.9134,0.7158,1
R00129,2.09,0.1886,481.84,Highway,0,677.9,0.2847,12.11,0.8843,0.1297,0
R00130,153.22,0.4261,258.54,Local Road,7,1076.3,0.6684,12.49,0.4749,0.8444,1
R00131,125.22,0.449,666.6,Bridge,2,392.1,0.3103,0.96,0.85,0.2756,1
R00132,66.63,0.3299,482.01,Main Road,11,1167.6,0.0498,1.4,0.9322,0.3703,0
R00133,35.96,0.2183,567.93,Bridge,2,1646.2,0.8319,8.4,0.7169,0.6628,0
R00134,101.28,0.4226,95.97,Main Road,7,121.5,0.3103,4.7,0.4126,0.5776,1
R00135,282.87,0.4169,216.36,Local Road,5,1773.4,0.0631,12.6,0.3907,0.6854,1
R00136,96.96,0.1615,797.35,Main Road,0,68.6,0.0748,7.88,0.4431,0.03,0
R00137,155.64,0.5367,349.75,Rural Road,1,1999.8,0.2518,0.9,0.6551,0.5136,0
R00138,210.91,0.4589,290.3,Rural Road,4,1876.1,0.178,5.04,0.8444,0.7028,1
R00139,109.09,0.5852,699.72,Rural Road,1,643,0.7743,0.22,0.8108,0.6786,1
R00140,291.53,0.5692,31.29,Rural Road,9,883.4,0.3217,6.01,0.4207,0.942,1
R00141,288.73,0.6921,430.14,Rural Road,3,1955,0.8047,3.27,0.819,0.9645,1
R00142,75.53,0.2586,172.15,Local Road,4,1122.7,0.1738,10.99,0.6722,0.1926,0
R00143,149.17,0.3193,297.68,Local Road,2,1776,0.4929,11.32,0.6574,0.4402,0
R00144,90.26,0.6333,163.82,Rural Road,2,58.7,0.688,0.23,0.8927,0.809,1
R00145,85.45,0.6745,35.07,Local Road,0,412.8,0.652,0.66,0.9672,0.7224,1
R00146,11.07,0.4795,336.13,Local Road,0,1706.9,0.6011,2.37,0.8653,0.5064,1
R00147,182.87,0.3765,632.42,Rural Road,2,878.3,0.9248,7.46,0.9071,0.7267,1
R00148,150.8,0.3133,761.8,Bridge,8,1703.2,0.2285,5.95,0.8803,0.5912,1
R00149,15.44,0.1853,500.96,Rural Road,4,1589.6,0.4937,11.72,0.8136,0.3387,0
R00150,83.59,0.4346,314.13,Main Road,0,1831.3,0.884,3.42,0.5242,0.5733,0
R00151,272.48,0.5536,617.03,Local Road,1,1358.8,0.0779,1.09,0.7562,0.6902,1
R00152,71.87,0.4038,406.65,Bridge,2,1582.4,0.0559,0.14,0.7308,0.2555,0
R00153,43.47,0.3394,297.26,Main Road,2,670,0.2333,0.93,0.7957,0.2231,0
R00154,146.84,0.5171,147.38,Main Road,9,179.7,0.633,3.99,0.8354,0.7664,1
R00155,295.7,0.5312,637.92,Local Road,10,903.9,0.2599,9.18,0.6141,0.6941,1
R00156,72.62,0.3997,402.84,Local Road,2,475.5,0.1902,1.4,0.7611,0.2121,0
R00157,201.64,0.3711,771.22,Local Road,5,1118,0.4588,7.35,0.7719,0.354,1
R00158,228.49,0.556,642.52,Highway,3,538.7,0.6136,1.81,0.5903,0.6593,1
R00159,71.29,0.3615,338.91,Main Road,0,1772.4,0.2486,1.34,0.4804,0.3317,1
R00160,218.46,0.4839,593.98,Rural Road,1,1613.9,0.3007,2.54,0.6133,0.5494,1
R00161,110.33,0.4314,365.45,Main Road,0,1788.8,0.6136,2.09,0.8165,0.6208,1
R00162,189.69,0.621,68.49,Rural Road,2,1942.3,0.9457,8.63,0.8911,0.9431,1
R00163,190.06,0.543,415.76,Local Road,6,521.7,0.6747,2.26,0.963,0.8938,1
R00164,160.73,0.5304,693.25,Highway,1,344.5,0.7829,1.19,0.8819,0.6717,1
R00165,27.09,0.2754,685.08,Bridge,7,1528.1,0.3668,6.52,0.8783,0.1448,0
R00166,250.59,0.474,462.1,Main Road,0,725.9,0.2723,20,0.9239,0.221,1
R00167,96.23,0.3214,307.12,Main Road,0,1657.1,0.4543,3.71,0.8396,0.4449,1
R00168,55.96,0.5392,13.03,Rural Road,2,365.8,0.8071,1.06,0.4527,0.7725,1
R00169,12.23,0.4107,252.57,Rural Road,10,57.6,0.4563,1.01,0.5304,0.7434,1
R00170,177.27,0.6533,791.9,Rural Road,2,1913.7,0.8467,0.26,0.6338,0.8006,1
R00171,203.27,0.7285,582.56,Highway,9,691,0.9888,0.33,0.9042,0.9227,1
R00172,4.98,0.1437,575.48,Highway,0,992.1,0.072,8.68,0.8065,0.0295,0
R00173,153.63,0.4946,610.06,Main Road,7,638.2,0.0454,0.41,0.9319,0.4357,0
R00174,67.95,0.2979,497.99,Rural Road,1,1320.9,0.1496,2.37,0.747,0.168,1
R00175,193.55,0.4067,470.76,Rural Road,8,506.4,0.3844,4.24,0.7525,0.5839,0
R00176,52.31,0.1442,365.63,Main Road,3,244.5,0.131,6.7,0.777,0.115,0
R00177,207.28,0.7078,357.93,Highway,8,1226.9,0.8707,0.71,0.5446,0.9489,1
R00178,116.02,0.2651,697.32,Local Road,6,1688.2,0.0231,2.07,0.7165,0.2035,0
R00179,281.02,0.626,317.8,Bridge,7,1252.6,0.3158,1.06,0.5304,0.9747,1
R00180,41.26,0.3721,673.03,Local Road,14,86,0.1847,1.08,0.8423,0.3935,1
R00181,102.32,0.5774,671,Rural Road,1,109.2,0.9315,1.32,0.7747,0.7621,1
R00182,34.04,0.2986,617.86,Rural Road,2,581.8,0.6695,3.15,0.5564,0.5884,0
R00183,277.41,1,34.93,Rural Road,2,761.8,0.912,0.11,0.708,0.9987,1
R00184,263.2,0.8191,122.64,Bridge,0,1322.7,0.9723,1.89,0.6182,0.9958,1
R00185,77.38,0.4678,255.19,Bridge,7,1904.6,0.4971,0.77,0.69,0.8004,1
R00186,198,0.234,678.79,Local Road,19,1484.8,0.2343,12,0.6923,0.6916,0
R00187,245.17,0.4661,699.24,Main Road,5,899.3,0.1937,3.11,0.7871,0.3567,0
R00188,166.56,0.426,38.04,Rural Road,15,704.2,0.2229,7.14,0.4444,0.8856,1
R00189,158.9,0.5923,263.16,Rural Road,4,308.9,0.7086,0.81,0.5802,0.8246,1
R00190,72.56,0.1302,681.06,Rural Road,7,1590.9,0.0404,5.86,0.5701,0.1547,1
R00191,27.93,0.3483,203.51,Main Road,2,1732.6,0.0514,1.93,0.7537,0.0888,0
R00192,269.16,0.7584,780.92,Local Road,1,1952.7,0.6081,0.73,0.7675,0.8572,1
R00193,270.13,0.5807,394,Main Road,1,1936.6,0.6421,5.06,0.4388,0.8259,0
R00194,189.93,0.4281,750.16,Main Road,2,1959.5,0.6653,5.07,0.6959,0.4403,0
R00195,101.71,0.2542,345.92,Main Road,2,1491.3,0.3719,19.28,0.5467,0.1737,1
R00196,104.76,0.5101,262.42,Rural Road,5,51.1,0.8059,5.36,0.841,0.8025,1
R00197,217.79,0.7283,293.12,Main Road,15,234,0.5336,0.6,0.8991,0.9662,1
R00198,269.13,0.4975,708.02,Main Road,1,1821.4,0.1055,1.41,0.7425,0.3409,1
R00199,266.13,0.7564,267.9,Rural Road,1,1817.1,0.7971,2.15,0.9107,0.9508,1
R00200,233.96,0.736,537.13,Rural Road,4,770.3,0.9531,0.52,0.7121,0.9687,1
R00201,192.61,0.3118,378.52,Rural Road,0,1465.2,0.06,5.48,0.8482,0.2015,0
R00202,25.24,0.2207,753.63,Main Road,5,1620.9,0.3914,2.67,0.8019,0.3877,1
R00203,48.49,0.243,131.69,Local Road,1,776,0.4875,10.17,0.7496,0.2327,0
R00204,269.57,0.484,345.78,Rural Road,0,185.7,0.1465,3.16,0.6323,0.4619,1
R00205,181.93,0.5707,104.08,Rural Road,2,1625.2,0.8677,2.64,0.5913,0.9788,1
R00206,2.76,0.3573,464.62,Local Road,3,628.5,0.2841,0.31,0.7596,0.3766,0
R00207,30.44,0.5007,325.3,Local Road,2,74.1,0.783,0.62,0.5408,0.6515,1
R00208,199.05,0.4686,53.45,Local Road,1,356.7,0.671,6.68,0.8003,0.8887,1
R00209,1.52,0.1765,680.62,Rural Road,1,420,0.598,16.41,0.777,0.1671,0
R00210,48.24,0.253,303.53,Highway,2,1413.2,0.1921,1.93,0.4698,0.2117,1
R00211,164.62,0.3323,397.44,Local Road,8,381.8,0.2207,5.86,0.4829,0.2889,0
R00212,207.57,0.4608,328.97,Local Road,11,830.3,0.0473,3.51,0.4191,0.6211,1
R00213,195.59,0.4136,393.48,Highway,6,1633.6,0.2407,11.23,0.5158,0.4761,1
R00214,67.28,0.474,17.98,Highway,8,1597.4,0.3454,1,0.9474,0.7898,1
R00215,213.65,0.6183,653.29,Main Road,3,1329.2,0.8331,2.8,0.8329,0.7164,0
R00216,71.17,0.3943,269.18,Main Road,6,1478.9,0.3664,1.89,0.6595,0.6402,0
R00217,97.62,0.5422,580.95,Rural Road,5,907.4,0.7546,2.78,0.8508,0.7767,0
R00218,223.95,0.6154,56.59,Main Road,10,105.1,0.4394,1.15,0.7546,0.9144,1
R00219,194.89,0.5402,421.44,Rural Road,6,1687.5,0.7849,2.46,0.5461,0.8524,0
R00220,254.77,0.617,727.49,Local Road,9,811.7,0.9763,3.48,0.901,0.9581,1
R00221,197.28,0.5685,321.61,Main Road,3,1355.9,0.2398,0.35,0.8422,0.4934,1
R00222,170.49,0.5167,161.82,Rural Road,6,1708.6,0.8623,4.81,0.4006,0.9686,0
R00223,28.1,0.3819,83.77,Rural Road,5,1128.8,0.6218,4.34,0.8993,0.6691,0
R00224,110.31,0.3542,687.97,Highway,0,593.2,0.8173,7.48,0.8204,0.3459,1
R00225,79.56,0.4882,194.85,Rural Road,5,321.6,0.6516,1.99,0.8036,0.8031,1
R00226,73.2,0.4506,780.18,Local Road,20,1491.6,0.4239,0.27,0.9146,0.8716,0
R00227,291.9,0.5134,202.02,Local Road,1,1190.8,0.2281,2.22,0.8537,0.7135,1
R00228,117.93,0.4802,387.39,Local Road,2,1257.7,0.07,0.57,0.7733,0.2355,0
R00229,267.61,0.5557,369.11,Main Road,6,821.5,0.5355,3.7,0.9369,0.807,1
R00230,189.34,0.8198,54.3,Local Road,6,390.4,0.9903,0.22,0.6254,0.9867,1
R00231,238.44,0.5896,427.81,Main Road,9,1765.6,0.738,1.69,0.2432,0.9508,1
R00232,150.79,0.5906,539.75,Highway,13,1208.7,0.3273,0.35,0.7943,0.8416,0
R00233,173.07,0.733,595,Main Road,0,0.1,0.8272,0.06,0.7768,0.6564,1
R00234,147.76,0.3488,420.46,Main Road,7,1407.9,0.769,11.37,0.3589,0.7912,1
R00235,58.57,0.163,651.01,Main Road,14,1522.1,0.2816,19.49,0.7554,0.2684,0
R00236,216.74,0.4872,602.92,Rural Road,1,1290.8,0.0143,2.89,0.8316,0.4925,1
R00237,84.23,0.4568,159.21,Rural Road,2,1695.6,0.1182,1.01,0.8948,0.4367,0
R00238,7.29,0.1928,324.27,Rural Road,7,1388.4,0.8773,8.52,0.7085,0.7808,1
R00239,193.64,0.5072,118.35,Rural Road,4,1998.9,0.8366,9.03,0.8911,0.9301,1
R00240,53.13,0.282,111.07,Main Road,11,1731.1,0.2952,6.8,0.7858,0.6118,1
R00241,282.14,0.6528,571.14,Local Road,1,536.3,0.2852,2.8,0.5735,0.7795,1
R00242,286.18,0.7747,426.72,Rural Road,4,207.1,0.7929,0.32,0.7815,0.9657,1
R00243,274.46,0.8301,482.76,Local Road,2,950.1,0.9377,0.37,0.8796,0.9824,1
R00244,111.05,0.298,587.09,Rural Road,5,866.2,0.7791,7.99,0.8407,0.6773,0
R00245,4.64,0.303,225.4,Local Road,4,138.8,0.6056,7.35,0.8053,0.3857,0
R00246,278.5,0.5926,324.08,Main Road,4,104.3,0.2427,2.04,0.7394,0.7771,1
R00247,128.46,0.3639,487.41,Rural Road,10,18.9,0.5257,1.44,0.3711,0.7863,1
R00248,290,0.5818,81.82,Main Road,3,11.4,0.2335,3.67,0.6011,0.767,1
R00249,289.09,0.5679,667.28,Local Road,1,1121.8,0.808,5.81,0.7228,0.8401,0
R00250,255.9,0.5541,278.04,Highway,3,642.9,0.387,4.65,0.7957,0.7875,1
R00251,88.33,0.4314,528.71,Local Road,0,27.4,0.8337,3.4,0.7632,0.4802,0
R00252,115.53,0.4654,796.47,Local Road,6,467.9,0.3816,0.97,0.8352,0.396,1
R00253,255.34,0.7446,382.91,Local Road,15,1819.7,0.8241,1.12,0.7085,0.9932,1
R00254,95.08,0.36,175.96,Local Road,3,1882.3,0.3333,4.56,0.6296,0.6163,0
R00255,50.85,0.3058,177.06,Local Road,5,570.1,0.4401,5.73,0.7702,0.4366,0
R00256,167.04,0.6896,53,Local Road,3,1282.1,0.6155,0.48,0.7304,0.9442,1
R00257,280.85,0.6349,614.83,Local Road,3,745.6,0.0703,0.78,0.4624,0.4087,1
R00258,208.81,0.6613,238.28,Rural Road,9,636.5,0.9482,4.04,0.9166,0.975,1
R00259,171.02,0.599,142.32,Rural Road,7,1343.4,0.5736,1.77,0.9575,0.8178,1
R00260,29.15,0.2681,572.39,Local Road,0,871.2,0.5078,2.95,0.5918,0.2764,1
R00261,184.5,0.5305,250.76,Local Road,2,957.9,0.8394,3.39,0.6498,0.8877,1
R00262,297.02,0.6531,482.37,Rural Road,12,852.1,0.8658,5.29,0.3363,0.9817,1
R00263,42.03,0.2331,337.17,Local Road,1,1729.8,0.5223,5.78,0.6665,0.3666,0
R00264,155.5,0.6778,270.65,Rural Road,2,603.4,0.9273,1.2,0.3313,0.9633,1
R00265,263.21,0.5171,394.1,Main Road,3,1540.4,0.0647,2.78,0.5613,0.6498,1
R00266,222.23,0.6848,254.47,Local Road,2,802.1,0.1132,0.51,0.7041,0.7448,1
R00267,209.1,0.4909,697.1,Main Road,7,661.5,0.5968,6.51,0.6226,0.6667,1
R00268,210.75,0.3307,63.07,Highway,0,180.7,0.3541,6.59,0.5938,0.5833,1
R00269,107.85,0.5429,28.97,Rural Road,4,576.9,0.4642,1.3,0.5515,0.6481,1
R00270,88.08,0.3897,328.08,Local Road,3,682.6,0.3281,0.66,0.3948,0.4415,1
R00271,242.81,0.8125,142.41,Local Road,6,327,0.4047,0.3,0.8979,0.9606,1
R00272,243.03,0.5995,596.26,Local Road,7,623.7,0.8226,3.04,0.9491,0.8893,1
R00273,260.12,0.8395,285.98,Local Road,2,1786.6,0.5935,0.39,0.6858,0.9559,1
R00274,273.97,0.7227,212.84,Local Road,5,1395,0.9973,4.04,0.714,0.9903,1
R00275,153.4,0.4444,290.71,Rural Road,2,1974.5,0.7869,4.02,0.8256,0.8607,1
R00276,150.45,0.3904,179.49,Bridge,3,288.2,0.2737,3.38,0.638,0.5268,0
R00277,239.49,0.4513,243.22,Local Road,2,1276.6,0.2643,7.37,0.9435,0.5158,1
R00278,194.99,0.5561,456.55,Local Road,0,1761.4,0.3359,1.71,0.5056,0.6896,1
R00279,210.59,0.4641,691.91,Local Road,2,258.3,0.8433,8.19,0.5175,0.7309,1
R00280,238.74,0.663,299.84,Rural Road,2,1767,0.0273,0.18,0.7276,0.797,1
R00281,267,0.6931,259.93,Local Road,2,664.8,0.2302,0.47,0.7058,0.7698,1
R00282,101.4,0.5539,626.52,Main Road,3,1325.8,0.9049,1.91,0.6507,0.8518,1
